channel_id,title,description,custom_url,handle,country,joined_date,subscribers,total_videos,total_views,keywords,has_instagram,has_tiktok,has_twitter,has_facebook,cross_platform_count,badges
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,"""Kids Diana Show"" is the top rated kids' YouTube channel starring Diana and Roma as they constantly engage in fun and crazy adventures. Since launching on YouTube in 2015, Kids Diana Show has attracted over 200+ million worldwide subscribers and 100+ billion views, while on average 10 billion monthly views on 20 channels and translated into 20 languages. Each episode is created with a creative mix of live performances, animation and music to create comedy videos for preschoolers.

E-mail: dianar",,,United States,2015-05-12,138000000,1613,123976006663,diana and roma|diana|roma and diana|kids diana show|kids video|love diana|toys|for kids|kids|cartoon|animation|мультики|cartoons|kids cartoons|cartoons for kids|kids videos|pretend play|children songs|baby songs|kids song|music video|song,True,True,False,True,3,VERIFIED_CHANNEL
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,"“Vlad & Niki” is the global preschool phenomenon and highest rated kids channel on YouTube starring the imaginative personalities and antics of brothers Vlad and Niki, who are showcased in non-stop fun and crazy adventures. Since launching on YouTube in 2018, the “Vlad & Niki” has attracted more than 456+ million subscribers worldwide and 248+ billion views, while averaging five billion monthly views on 21 channels and translated into 18 languages. Each episode is produced with a creative mix of",,,United States,2018-04-23,149000000,1014,120673534346,kids|toys|play|fun|vlad|nikita,False,False,False,False,0,VERIFIED_CHANNEL
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,"Welcome to Nastya's universe - where Nastya and her parents play, learn, sing, explore and share their life experiences. 

Millions of kids and families from all over the world join Nastya every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.

Follow Like Nastya on Instagram - https://www.instagram.com/likenastya/
Follow Like Nastya on TikTok - https://www.tikto",,,United States,2016-12-06,132000000,1066,120416866570,nastya|toys|kids|like nastya|song|nastya and dad|kids video|настя|for kids|pretend play|children songs|baby songs|music video|nastya and papa|nastya show|cartoons,True,True,True,True,4,VERIFIED_CHANNEL
UCOIVfAwzM5lkYrbZfzE9_TQ,Ryansplanet,Nothing but im working at it,,,,2007-11-13,0,0,0,,False,False,False,False,0,
UCPlcOq_6G1BOs0TYn18ckfw,Oum Sonia أم صونيا,,,,France,2014-09-03,79,2,833,,False,False,False,False,0,
UCZvM__zKed0z2rJ7X9R3S8g,The Labrant Fãm,,,,,2020-10-05,19,3,189,,False,False,False,False,0,
UCxJrnvfqSSvly5hiq2Fe68g,SACCONEJOLYs,"The Saccone Joly's YouTube web series ran from 2010 to 2020. For 10 years, Jonathan Joly and Anna Saccone shared their lives online. During that time, they had four children: Emilia, Edie, Alessia, and Andrea. The first two were born in Cork, Ireland, at Cork University Maternity Hospital and the third and fourth were born in London at the Portland private hospital. 

The web series won several international awards during its time: Radio Time Most Influential, Shorty Award for Best in Parenting,",,,United Kingdom,2009-12-29,1610000,2852,747905433,,False,False,False,False,0,
UCvthuVsurPaVz2a7_4LepGg,Family Fun Pack,"Hi guys, I'm Kristine, and I invite you to follow my journey as a mom. I have been documenting my life as a mother since 2011 here on YouTube.  I have 8 beautiful children, including identical twins, and a wonderful husband.  We love to travel, play sports, be outdoors, and spend as much time together as we can. We usually travel about half the year. We love to be creative!  Our motto is find fun in everything, so if someone's having fun, it's our family!
Thanks for visiting our channel. Please ",,,United States,2011-10-02,10500000,3449,15944540106,Familyfunpack|family fun pack|FFP|twins family fun pack|michael family fun pack|zac family fun pack|chris family fun pack|david family fun pack|alyssa family fun pack|vlog|family fun pack owen|family fun|family meals|parenting advice|mom life|always alyssa|family travel|how to travel with big family|travel tips|hawaii life|family vlogger|twin parenting|music video|home organization|custom home ideas|kitchen organization|easy dinner ideas|homeschool,True,False,False,True,2,VERIFIED_CHANNEL
UCK2ACorzpH-igxuHZ2ObCEA,itsJudysLife,"Benji and I are vloggers from Seattle. We've been vlogging (almost) every day since October of 2011 before we started our family! We have 5 beautiful daughters Julianna, Miya, Keira, Leah, and Isabella. Watch 5 days a week!

email: itsjudytime@thecreatorcompany.tv
",,,United States,2010-03-10,1830000,4565,1280904610,itsjudytime|personal|life|judy travis|itsjudyslife,True,False,True,True,3,VERIFIED_CHANNEL
UCtZAaljDNIsIAIhwYYzvEiw,The Bee Family,"The Bee Family is for everyone. Our content is mainly for families and our goal is to inspire and have more fun together.

We are a family of 4 starring Mama Bee, Papa Bee, Mr. Bee and Gabriela Bee! We aim to post new videos weekly! 

Please subscribe to our channel and we promise you'll have a great time with us!

EMAIL: ehbeemail@gmail.com or Visit www.EhBeeFamily.com",,,United States,2013-06-21,10300000,1150,3342232295,family|lifestyle|vlogs|family fun,True,False,True,False,2,VERIFIED_CHANNEL
UCyCyTe_1bT2aIPwG_gxbyeg,Daily Bumps,"We’re Bryan and Missy Lanning and we've been sharing our family’s journey for over 10 years. From building our homestead to everyday adventures, we capture real moments—the highs, lows, and everything in between. Our goal is to spread joy, inspire others, and create a community focused on family, fun, and wholesome living. Hit subscribe and join us!

Business Inquries: missylanning@me.com
",,,United States,2012-12-31,5060000,3077,4181431817,daily bumps|daily bumps vlogs|daily bumps Ollie and finn|Ollie and finn|Bryan lanning|Bryan Lanning music|missy lanning|this is home|lanning family|family fun,True,False,False,False,1,VERIFIED_CHANNEL
UCYfbq37VGb-07tDS0FGtsPw,Piper Rockelle,"Shalom guys, I’m Piper Rockelle I’m a girl living my dream in Hollywood. On this channel we believe in entertainment, quality, family, fun, love, and good vibes. Here you can find me doing crazy challenges. Boyfriend challenges, crush challenges,  24 hour challenges, last to challenges, and more. Also I do DIYs, tutorials, make up, instagram videos. Normally I’m with an awesome friend, or crush, or boyfriend in my videos. Along with all this my videos are great for boys and girls of all ages, ev",,,United States,2016-11-28,12200000,816,3695496168,piper|piper rockelle|24 hour|challenge|last to|funny|tiktok|musically|routine|girls|pause challenge|school|2019|vlog|makeup|shopping|diy|slime|brat|mani|instagram|24 hour challenge|pause|Piper Rockelle youtube|youtube piper rockelle|Piper Rockelle youtube channel|prank|pranks|prank wars|prank war|boyfriend|girlfriend|break up|crush|family|family vlogs|teens|teen,False,False,False,False,0,VERIFIED_CHANNEL
UCKaCalz5N5ienIbfPzEbYuA,Jordan Matter,My daughter has taken over my channel!,,,United States,2006-12-20,35500000,572,14077299142,photography|dance|challenge|dance moms|10 minute challenge|photo|contortion|acro|tiktok|24 hours|salish,True,False,False,False,1,VERIFIED_CHANNEL
