channel_id,title,description,custom_url,handle,country,joined_date,subscribers,total_videos,total_views,keywords,has_instagram,has_tiktok,has_twitter,has_facebook,cross_platform_count,badges
UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,"Welcome To Ryan's World!!! Ryan loves doing lots of fun things like pretend play, science experiments, music videos, skits, challenges, DIY arts and crafts and more!!! 
Most of the toys we used to review are being donated to local charity 

Ryan's Toys & Clothing at Walmart and Target!

Ryan's World 
Ryan's Family Review: https://www.youtube.com/channel/UCsaOzYsyshyrYL4SHCTI8xw
Combo Panda: https://www.youtube.com/channel/UCb69PhsHzsorirJDlxaIXlg
Gus The Gummy Gator: https://www.youtube.com/chan",,,United States,2015-03-16,40300000,3684,63342822422,Ryan's World pretend play challenges|educational science experiments videos for kids Ryan ToysReview,True,False,False,False,1,VERIFIED_CHANNEL
UCfaZw8XH_zmAVkBst_MPD6w,CKN ,"Hi everyone, this is Calvin and Kaison here.
Welcome to CKN .



",,,Australia,2015-03-27,19400000,492,14162383252,Toys Unboxing|Surprise Eggs|Paw Patrol|PJ Masks|Superhero|Avengers|Pretend play|kids video|calvin ckn|ride on cars|playtime fun|Ben 10|Disney cars|Thomas|Power Rangers|CKN Toys,False,False,False,False,0,VERIFIED_CHANNEL
UCC-RHF_77zQdKcA75hr5oTQ,FGTeeV,"FGTeeV, the Family Gaming team, brings you the premiere YouTube channel for gamers. Meet FGTeeV Duddy aka Duddz aka FeeGee aka D.D.G and his wife FGTEEV Moomy, their sons Shawn, Chase & Mike & their daughter Lexi. The hyperactive crew of gamers invites you to dive first into their world of gaming and sketch comedy. Whether it’s PC, iPad, Android, XBOX One, Wii U, Playstation 4, 5 or Nintendo Switch... FGTeeV has a gameplay for you.  Back in 2013 Duddz could never figure out why people watch othe",,,United States,2013-05-23,25300000,1875,26029039819,gameplay videos|father son|family gaming team|fgteev,True,True,True,True,4,VERIFIED_CHANNEL
UCBuUuRAVanvOFTd7krncsyg,JillianTubeHD,"Hi Everyone, it's Jillian!  You may know me from EvanTubeHD and The Tube Family.  I started this channel to share some of the things I like to do.  I'll be posting vlogs, toy reviews, skits, diy, crafts, music videos and a whole bunch more.  So make sure to subscribe and come back for more fun!",,,United States,2013-03-11,1740000,277,530634423,jilliantubehd|evantubehd|toys|crafts|family|vlog|cute|creative|unboxing|skits|kids,True,True,False,False,2,VERIFIED_CHANNEL
UCKdOI5MTLkGHtqtyKovs2lQ,Baby Playful,"Welcome to Baby Playful! We upload fun learning videos for kids weekly, so please subscribe! Thank you for your love and support! ❤️ Please also check out our other channel: Tabby's Hobbies.",,,,2016-01-21,387000,297,148561100,family vlog|family channel|family adventure|sisters adventure|learning for kids,False,False,False,False,0,
UCF2PQrk3QVky8eFexifcjDA,ItsYeBoi,,,,Canada,2015-11-26,2670000,586,396433351,itsyeboi|entertainment|comedy|unboxing|tech|review|3d printing|amazon|wish|ebay|apple|tesla,True,False,True,False,2,VERIFIED_CHANNEL
UCfqU64f0NafwnIs3zPO8VOg,SiS,"Здравствуйте! Мы подростки-погодки Стеф и Сем. Стеф - 14 лет. Сему - 13 лет. На нашем канале вас ждут Челленджи, забавные ролики, шутки и юмор. Мы учимся на экстернате, то есть не ходим в школу и будем иногда делиться, как проходит наш день и обучение. А еще мы любим подшучивать друг над другом.
Подписывайтесь на наш канал и оставайтесь с нами!
По всем вопросам просьба писать на E-mail: kamelek@ukr.net",,,Ukraine,2016-08-03,12500,60,328510,SiS|Stef Sem|челленджи|Брат и сестра|блогеры подростки|S&S|ютуб челлендж|канал челлендж|Стеф|Сем,True,True,False,False,2,
UCRXRC8hRRMYEnumSWPpT17A,TwinsFromRussia,SUBSCRIBE FOR A COOKIE! 🍪,,,United States,2021-03-15,8170000,9149,2709867825,twinsfromrussia|twins from russia|revega|twinsfromrussia revega|twins from russia revega|twins|revega twins|russian twins|twins russian|the russian twins|revega filipp|revega kirill|kirill revega|filipp revega|кирилл ревега|филипп ревега|ревега|ревега филипп|ревега кирилл,True,True,False,True,3,VERIFIED_CHANNEL
UC6QWhGQqf0YDYdRb0n6ojWw,Brooklyn and Bailey,"We are twin sisters who just vlog their life and share it for y'all to enjoy! From wedding/marriage content, having babies, building houses, college, friendships, periods, cooking/baking, challenges, vlogs, travel, dance, and SO MUCH MORE. We film it all! 
Stay, subscribe, and enjoy♡",,,United States,2010-11-14,7410000,1641,1963866603,twins|family|girls|lifestyle|beauty|DIY|fashion|hairstyles|cute|makeup|college|teen|fun|school|relationship|twin swap|identical twins|skincare|tiktok|instagram|boyfriend|girlfriend|husband|wife|married|engaged|challenges|BTS|music|songs|tik tok|funny videos|dogs|dog|sisters|sister|girl|travel|vlog|vlogs|hacks|house|decor|dcorations|decoration|shop|tutorial|twin|wedding|books|reading|recommendations|popular|youtube,True,True,False,True,3,VERIFIED_CHANNEL
UC-_KiH_Z2yerhAD_cAjAMOA,Not Enough Nelsons,"We are the ""NOT ENOUGH NELSONS"" FAMILY! We are a big family of 18! We always get asked if they are all ours!!? 7 are biological and 9 are adopted! SO YES!! THEY ARE ALL OURS!! We sure love each one of our 16 kiddos! We hope you enjoy our videos!  Follow along with our crazy family on this great youtube adventure! ",,,United States,2018-12-12,5410000,2242,4034935279,not|enough|nelsons|nenfam|Big family|Lifestyle|Large family|DIY|Pranks|Hide and seek|Back to school|Family life|Sibling challenges|Shopping hauls|Room tours|Castle house|Not Enough Nelsons|not|enough|nelsons|nayvee|paislee|justkass|kass|kennadee kay|Big family|Adoption|Large family|Family fun|Pranks|Hide and seek|Back to school|Family activities|Sibling challenges|Family meals|Home schooling|Shopping hauls|Room tours|Castle house|Not Enough Nelsons,True,True,False,True,3,VERIFIED_CHANNEL
